category,conversation_item,legacy_or_map_name,canonical_or_preferred_name,current_repo_state,canonical_file,action_now,confidence,notes
rename,Garrison repair toggle,sub_433A40,BuildingGarrisonDialog_ToggleRepairSelectedUnits,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Garrison training toggle,sub_433AC0,BuildingGarrisonDialog_ToggleTrainingSelectedUnits,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Garrison exit flow,sub_433B40,BuildingGarrisonDialog_BeginSelectedUnitsExit,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Production status text,sub_435280,CastleProduction_DrawProductionStatus,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Production previous selection,sub_435640,CastleProduction_SelectPreviousAvailableUnit,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Production next selection,sub_435680,CastleProduction_SelectNextAvailableUnit,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Buy licence action,sub_4356C0,CastleProduction_HandleBuyLicenceAction,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Remove licence action,sub_435770,CastleProduction_HandleRemoveLicenceAction,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Produce action,sub_4357E0,CastleProduction_HandleProduceAction,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Stop production action,sub_435830,CastleProduction_HandleStopProductionAction,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
rename,Info action,sub_435860,CastleProduction_HandleInfoAction,present,docs/archive/REVERSE_ENGINEERING_RENAME_LOG.md,cross-link only,high,Already canonical in rename log.
structure,Strategic unit selection state,,UnitStackSelectionState,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as UI state region.
structure,Merged terrain movement helper,,MergedTerrainMoveProfile,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as helper record.
structure,Minimap runtime state,,MiniMapState,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as UI state region.
structure,Tooltip saved backdrop,,TooltipBackdropState,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as global state region.
structure,Garrison dialog modal state,,BuildingGarrisonDialogState,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as UI state region.
structure,Garrison action descriptor table,,BuildingGarrisonDialogActionsTable,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as UI action table.
structure,Castle management modal state,,CastleManagementScreenState,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as UI state region.
structure,Castle production modal state,,CastleProductionPanelState,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as UI state region.
structure,Input backend slab,,InputBackendState,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as platform state region.
structure,Port spawn-ring entry,,PortSpawnOffset,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as table record.
structure,Tactical battle runtime,,BattleRuntimeState,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as battle state region.
structure,Tactical pathing scratch state,,BattlePathingTables,present,RECOVERED_STRUCTURES.json,leave stable,high,Already represented as runtime helper region.
unit_taxonomy,Recovered roster,,35-entry unit roster,present,docs/archive/UNIT_TYPES_AND_STATS_REPORT.md,preserve,high,Already recovered with strong evidence discipline.
unit_taxonomy,Cargo handling,,UnitType31_GoldCargo and UnitType32_PeasantCargo,present,docs/archive/UNIT_TYPES_AND_STATS_REPORT.md,preserve,high,Already treated as special cargo entries.
unit_taxonomy,Special personage handling,,UnitType33_SpecialFootPersonage and UnitType34_SpecialMountedPersonage,present,docs/archive/UNIT_TYPES_AND_STATS_REPORT.md,preserve conservatively,high,Already treated as conservative special-personage family.
progress_log,Conversation integration batch,,COMPILATION_PROGRESS batch note,present,docs/archive/COMPILATION_PROGRESS.md,preserve,high,Recorded in Batch 125 as a docs-first conservative integration wave for the guide audit and crosswalk.
